Unnamed: 0,Author,Title,HD_D,Average_TFIDF,AuthorRus,Rating,Emotional,Length,AvgWordLength,AvgSentenceLength,LongWordRatio,LexicalDiversity,SentimentScore,VerbRatio,AdjRatio,QuotesCount,NegationCount,ExclamationCount,AbstractNounRatio
141,Dostoevsky,Хозяйка,0.8869932101072037,0.0002091584502679,Достоевский,3.582,0.2300695559122525,152999,5.398,11.169,0.202,0.336,,,0.1334,146,520,348,0.0115
142,Dostoevsky,Честный вор,0.8760419851733987,0.0001562569733642,Достоевский,3.857,0.2535460992907801,30631,5.008,8.711,0.137,0.395,,,0.0902,28,148,108,0.0045
143,Dostoevsky,Чужая жена и муж под кроватью,0.8752950995765074,0.0001974181619792,Достоевский,3.925,0.4162544169611308,75682,5.343,7.175,0.214,0.319,,,0.1107,37,367,583,0.0096
144,Gogol,Вечера на хуторе близ Диканьки,0.9104664542203944,0.0003246536320068,Гоголь,4.266,0.3136083628896771,402125,5.334,10.223,0.189,0.286,,,0.1152,542,1877,1618,0.0078
145,Gogol,Вий,0.9023766736292032,0.0002590759151186,Гоголь,4.282,0.1784922394678492,74616,5.52,11.368,0.203,0.431,,,0.1299,74,246,138,0.011
146,Tolstoy,Записки сумасшедшего,0.8277864281526067,0.0002106390202309,Толстой,3.889,0.1829573934837092,21833,5.183,7.813,0.174,0.473,,,0.0875,30,118,0,0.0102
147,Gogol,Коляска,0.9132579735125708,0.0002364298514416,Гоголь,4.415,0.1330798479087452,23221,5.847,11.279,0.251,0.566,,,0.1392,14,64,30,0.0104
148,Gogol,Мёртвые души,0.9067416307026572,0.0002873741900284,Гоголь,4.147,0.1982518871672626,757969,5.64,13.268,0.236,0.248,,,0.1295,1223,3364,1392,0.0136
149,Gogol,Невский проспект,0.9001170135457324,0.0002581879016406,Гоголь,4.206,0.2161764705882353,72172,5.772,13.823,0.259,0.449,,,0.1564,60,251,132,0.0169
150,Gogol,Нос,0.8920041222675169,0.0001898759826025,Гоголь,4.211,0.1985294117647058,49608,5.527,12.896,0.225,0.431,,,0.1261,333,244,110,0.0103
