Book ID,Size,Views,Likes,Rating,total_words,readability_flesch,readability_fog,pronoun_ratio,adverb_adj_ratio,slang_ratio,metaphor_pair_count,metaphor_pair_ratio,epithet_density,alliteration_ratio,sarcasm_marker_count,sarcasm_marker_ratio,tonal_ambiguity_score,sarcasm_markers,first_person_count,second_person_count,third_person_count,total_personal_pronouns,first_person_ratio,second_person_ratio,third_person_ratio,dialog_total_words,dialog_words,dialog_ratio
161481,46562,1292,5,0.0038699690402476,7470,58.54050437294637,18.8651824566068,0.0,0.8368098159509203,,0,0.0,0.0,0.04932132777852439,1,0.13386880856760375,0.0,смешно,382,8,161,551,0.6932849364791288,0.014519056261343012,0.29219600725952816,7451,161,0.021607837874110858
107317,30254,2248,39,0.0173487544483985,4384,54.87416716699545,19.066312147982963,0.0,0.5180265654648957,,0,0.0,0.0,0.05566963267168606,0,0.0,0.0,,69,85,131,285,0.24210526315789474,0.2982456140350877,0.45964912280701753,4384,1,0.0002281021897810219
81867,52698,2122,26,0.0122525918944392,7884,54.95977772070992,19.064210466244365,0.0,0.8653333333333333,,0,0.0,0.0,0.059100152516522626,1,0.12683916793505834,0.0,ах да,41,34,259,334,0.12275449101796407,0.10179640718562874,0.7754491017964071,7871,24,0.00304916783127938
162808,29147,1380,4,0.0028985507246376,4504,52.6429032253028,20.085709557250766,0.0,0.8832599118942731,,0,0.0,0.0,0.049399198931909215,0,0.0,0.0,,47,26,222,295,0.15932203389830507,0.08813559322033898,0.752542372881356,4497,1496,0.33266622192572826
147552,53023,1429,5,0.0034989503149055,8644,67.70993911421424,16.3200306826007,0.0,0.4850669412976313,,0,0.0,0.0,0.045422943221320976,0,0.0,0.0,,478,115,246,839,0.5697258641239571,0.13706793802145412,0.2932061978545888,8634,1885,0.2183229094278434
195654,28175,1717,23,0.0133954571927781,4342,61.94241239892182,17.680302716151775,0.0,0.9280205655526992,,0,0.0,0.0,0.05209539245195647,1,0.2303086135421465,0.0,смешно,47,47,153,247,0.1902834008097166,0.1902834008097166,0.6194331983805668,4320,8,0.001851851851851852
190131,23756,1435,21,0.0146341463414634,3469,53.41220287165504,19.57604681729109,0.0,0.5935960591133005,,0,0.0,0.0,0.0499134448932487,0,0.0,0.0,,37,16,131,184,0.20108695652173914,0.08695652173913043,0.7119565217391305,3467,1098,0.3167003172771849
129434,70925,2631,42,0.0159635119726339,10996,57.663190299480306,18.76837575511573,0.0,0.5099484156226971,,0,0.0,0.0,0.051788477291344316,3,0.2728264823572208,0.0,"ах да;ну, давай;смешно",223,184,396,803,0.2777085927770859,0.22914072229140722,0.4931506849315068,10988,28,0.0025482344375682563
261901,79246,1307,41,0.0313695485845447,12129,51.60775379349201,19.763772748091558,0.0,0.6841305998481397,,0,0.0,0.0,0.051496115060340554,1,0.08244702778464837,0.0,ах да,393,51,343,787,0.4993646759847522,0.06480304955527319,0.4358322744599746,12120,1740,0.14356435643564355
211089,53065,1408,46,0.0326704545454545,8055,59.79431204504388,18.136095591695035,0.0,0.8111731843575419,,0,0.0,0.0,0.06009436304941644,1,0.12414649286157667,0.0,"ну, давай",147,100,224,471,0.31210191082802546,0.21231422505307856,0.47558386411889597,8055,3727,0.4626939788950962
