Book ID,Size,Views,Likes,Rating,overall_sentiment,total_words_emotional,arc_amplitude,arc_polarity_switches,avg_cosine_similarity,sentence_count,avg_adjacent_similarity,std_adjacent_similarity,num_adjacent_pairs
49202,168374,2719,2,0.0007355645457888,neutral,25923,2,1,0.31258044,2892,,,0
249425,93885,1271,19,0.014948859166011,neutral,14789,2,0,0.33487055,1429,,,0
45697,27836,2685,4,0.0014897579143389,neutral,4364,2,1,0.35904968,447,,,0
84737,65415,2328,7,0.0030068728522336,neutral,9844,1,0,0.3626335,1032,,,0
111547,51318,2405,38,0.0158004158004158,skip,7719,2,0,0.35101882,605,,,0
163105,90169,1740,17,0.0097701149425287,neutral,13115,2,0,0.3404322,1284,,,0
332208,47368,1007,9,0.0089374379344587,neutral,6874,2,1,0.31973657,858,,,0
230951,45792,2581,54,0.0209221232080588,neutral,6761,2,1,0.32119527,685,,,0
341653,24285,1010,10,0.0099009900990099,neutral,3701,1,0,0.32316548,467,,,0
337393,47029,1111,5,0.0045004500450045,negative,7002,1,0,0.38634893,408,,,0
198689,79983,1835,8,0.0043596730245231,negative,12418,2,1,0.3606378,1250,,,0
239734,23228,1484,20,0.013477088948787,negative,3492,1,0,0.3656812,509,,,0
262530,54386,1879,8,0.0042575838211814,neutral,7958,1,0,0.35816073,650,,,0
108951,43827,2314,18,0.0077787381158167,neutral,7136,2,1,0.35790926,779,,,0
184622,32535,1633,19,0.0116350275566442,neutral,4969,1,0,0.36496472,402,,,0
136703,48574,1915,27,0.0140992167101827,neutral,7558,1,0,0.33560014,952,,,0
101778,21708,1967,7,0.0035587188612099,neutral,3509,2,5,0.3299129,419,,,0
229699,36036,1248,11,0.0088141025641025,speech,5037,1,0,0.32617912,449,,,0
242879,23280,1479,15,0.0101419878296146,neutral,3568,2,1,0.3472889,461,,,0
317324,45654,1423,12,0.0084328882642304,neutral,6953,2,0,0.32152975,860,,,0
132856,20977,2570,121,0.0470817120622568,positive,3150,2,2,0.37491265,202,,,0
209576,38023,2447,59,0.0241111565181855,neutral,5607,2,1,0.29819095,581,,,0
312936,35138,1496,3,0.0020053475935828,neutral,5181,2,3,0.33490092,615,,,0
260463,54308,1592,20,0.0125628140703517,neutral,8137,2,2,0.3101294,930,,,0
277177,42966,1332,17,0.0127627627627627,neutral,6597,1,0,0.32408187,664,,,0
102664,37122,2660,57,0.0214285714285714,neutral,5023,1,0,0.34100458,524,,,0
238709,25404,1413,12,0.0084925690021231,positive,4049,2,1,0.38006285,348,,,0
177174,20994,1424,10,0.0070224719101123,neutral,3410,2,0,0.34835404,330,,,0
337113,27420,1122,3,0.0026737967914438,neutral,4388,1,0,0.3156018,608,,,0
59384,46321,1994,35,0.0175526579739217,negative,6642,2,1,0.32337615,597,,,0
37212,24601,2709,10,0.0036913990402362,neutral,3665,1,0,0.32328954,345,,,0
334828,20872,1211,17,0.014037985136251,negative,3379,2,1,0.3331683,360,,,0
207610,27289,1651,17,0.0102967898243488,positive,4156,2,0,0.34708917,428,,,0
324072,39629,1216,14,0.0115131578947368,skip,6122,2,1,0.33689207,637,,,0
278364,29019,1369,24,0.0175310445580715,negative,4319,2,1,0.333056,483,,,0
26888,36376,3214,34,0.0105787181082762,neutral,4700,0,0,0.34065068,642,,,0
334523,20653,1220,28,0.0229508196721311,neutral,3150,2,0,0.31137723,338,,,0
336519,29671,1047,5,0.0047755491881566,neutral,4608,2,0,0.31248653,536,,,0
312844,34203,1719,37,0.0215241419429901,skip,5268,2,0,0.35450524,458,,,0
21882,62462,2518,26,0.0103256552819698,negative,9879,2,3,0.3332092,1124,,,0
197037,24025,1467,0,0.0,neutral,3416,0,0,0.3287538,271,,,0
341558,34099,1214,7,0.0057660626029654,neutral,4977,2,1,0.3161345,501,,,0
