,Author,Title,HD_D,Average_TFIDF,AuthorRus,Rating,Value,Length
144,Gogol,Вечера на хуторе близ Диканьки,0.9104664542203944,0.0003246536320068,Гоголь,4.266,0.3136083628896771,402125
145,Gogol,Вий,0.9023766736292032,0.0002590759151186,Гоголь,4.282,0.1784922394678492,74616
146,Tolstoy,Записки сумасшедшего,0.8277864281526067,0.0002106390202309,Толстой,3.889,0.1829573934837092,21833
147,Gogol,Коляска,0.9132579735125708,0.0002364298514416,Гоголь,4.415,0.1330798479087452,23221
148,Gogol,Мёртвые души,0.9067416307026572,0.0002873741900284,Гоголь,4.147,0.1982518871672626,757969
149,Gogol,Невский проспект,0.9001170135457324,0.0002581879016406,Гоголь,4.206,0.2161764705882353,72172
150,Gogol,Нос,0.8920041222675169,0.0001898759826025,Гоголь,4.211,0.1985294117647058,49608
151,Gogol,Ночи на вилле,0.8913494921088253,0.0001862213504349,Гоголь,4.206,0.1073825503355704,12165
152,Gogol,Ночь перед Рождеством,0.9017527651206872,0.0002299573986615,Гоголь,4.433,0.3098712446351931,83226
153,Gogol,"Повесть о том, как поссорился Иван Иванович с Иваном Никифоровичем",0.8978253906766481,0.0001952802217966,Гоголь,4.15,0.3066666666666666,93121
154,Gogol,Портрет,0.8949992663746836,0.0002603738286642,Гоголь,4.351,0.1477045908183632,114356
155,Gogol,Ревизор,0.9028743303448394,0.0001795030691296,Гоголь,4.075,0.2358490566037736,138159
156,Gogol,Рим,0.9106497062715396,0.0003248025226114,Гоголь,4.415,0.1242362525458248,84485
157,Gogol,Старосветские помещики,0.8968242389032381,0.0001835233322647,Гоголь,4.321,0.1689008042895442,46349
158,Gogol,Тарас Бульба,0.9011563554768316,0.0002907009936376,Гоголь,4.282,0.2554002541296061,232125
159,Gogol,Шинель,0.8884557303464119,0.0001830259596234,Гоголь,4.208,0.0831168831168831,65218
160,Gorky,Бывшие люди,0.9066290987789232,0.0002476727978872,Горький,3.621,0.2404482934284259,113351
161,Gorky,В людях,0.9078683810753048,0.0003753654501817,Горький,4.317,0.2850467289719626,1191308
162,Gorky,В степи,0.8950271416051342,0.0002354324733564,Горький,2.715,0.2398081534772182,21630
163,Gorky,Вывод,0.8932847307663242,0.000182766600936,Горький,4.132,0.1951219512195122,4176
164,Gorky,Город жёлтого дьявола,0.9107103577678624,0.0002750882746621,Горький,4.117,0.2788461538461538,22743
165,Gorky,Двадцать шесть и одна,0.8593098220540483,0.0001803592223083,Горький,3.908,0.2522796352583587,26313
166,Gorky,Дело с застёжками,0.8987122112230828,0.0002223121594315,Горький,3.5,0.204225352112676,20278
167,Tolstoy,Детство,0.8866265440906143,0.0002768118213755,Толстой,3.994,0.149375,191516
168,Gorky,Емельян Пиляй,0.8852612842159905,0.0002363457148685,Горький,3.833,0.3375314861460957,21871
169,Gorky,Знахарка,0.912752841156056,0.000228945869034,Горький,3.25,0.1678321678321678,19590
170,Gorky,Коновалов,0.8838813966586825,0.0002536382825058,Горький,4.258,0.2479750778816199,93136
171,Gorky,Ледоход,0.9137054705851452,0.0002711783227382,Горький,3.648,0.2737068965517241,38412
172,Gorky,Ма-аленькая!...,0.8889369443338111,0.0002100284349187,Горький,3.736,0.1574074074074074,8182
173,Gorky,Макар Чудра,0.865645142427593,0.00015522799424,Горький,3.827,0.3746835443037975,23187
174,Gorky,Мать,0.9035134350103556,0.0002692669851419,Горький,3.893,0.302762077423483,560406
175,Gorky,Мещане,0.8893457792831521,0.0001583874923049,Горький,3.982,0.2655357742693987,152175
176,Gorky,Мои университеты,0.9067055173801422,0.0003535937095406,Горький,4.317,0.2484334684850719,223870
177,Gorky,На дне,0.8955744678880438,0.000195741933491,Горький,3.902,0.3787643588947532,102123
178,Gorky,На плотах,0.9087390281282588,0.0002319781103524,Горький,3.453,0.3572744014732965,23031
179,Gorky,Несвоевременные мысли,0.9146730249162588,0.0003474056384612,Горький,3.982,0.2977558839627805,254186
180,Gorky,Озорник,0.8934721117647328,0.000188485385829,Горький,3.375,0.2444444444444444,34510
181,Gorky,Песня о Буревестнике,0.8280347712934555,9.452023635629394e-05,Горький,4.187,0.24,1679
182,Gorky,Песня о соколе,0.8839768837002995,0.0001923722352705,Горький,4.035,0.1532258064516129,8345
183,Gorky,Проходимец,0.883331808909328,0.0002919183790754,Горький,3.941,0.2245681381957773,66810
184,Gorky,Рождение человека,0.9109501311818184,0.0002837029305665,Горький,3.983,0.1877934272300469,17352
185,Gorky,Сказки об Италии,0.9094232241000249,0.0003182277193177,Горький,3.865,0.2436285097192224,249473
186,Herzen,Скуки ради,0.9080806939155736,0.0003425358579115,Герцен,3.417,0.1604651162790697,90016
187,Gorky,Старуха Изергиль,0.8588440241135539,0.0002110484020253,Горький,4.026,0.2282768777614138,40288
188,Gorky,Страсти-мордасти,0.8985026230852151,0.0002596151071412,Горький,4.245,0.2589473684210526,26217
189,Gorky,Фома Гордеев,0.8951074251605055,0.000236996547992,Горький,4.022,0.2739491969472605,489007
190,Gorky,Челкаш,0.90278270451619,0.0001661998456097,Горький,3.833,0.2786069651741293,61521
191,Gorky,Человек,0.8714050210151795,0.0002178890343328,Горький,4.379,0.611764705882353,11190
192,Gorky,Ярмарка в Голтве,0.9196893342506736,0.0002690652167443,Горький,3.5,0.2366412213740458,21001
193,Herzen,Доктор Крупов,0.9081812795228318,0.0002748297275035,Герцен,3.971,0.1272321428571428,56950
194,Herzen,Долг прежде всего,0.9026933012355116,0.0002769753288889,Герцен,3.1,0.0662251655629139,130607
195,Herzen,Елена,0.8971347330110673,0.0002678824424225,Герцен,3.662,0.1862595419847328,64802
196,Herzen,Кто виноват,0.904777793731401,0.0002987870726474,Герцен,3.853,0.1733646230566148,423226
197,Herzen,Легенда,0.9003181938770359,0.0002620837409057,Герцен,3.25,0.1066350710900474,52173
198,Herzen,Мимоездом,0.8985576853920686,0.0001849847050338,Герцен,3.75,0.1636363636363636,5644
199,Herzen,Повреждённый,0.9037062373156752,0.0002883622538518,Герцен,3.885,0.1302083333333333,45485
200,Herzen,С того берега,0.9149369461486304,0.0003309357227468,Герцен,4.583,0.2037108620023192,352921
201,Herzen,Сорока-воровка,0.8913960106731438,0.000261887640379,Герцен,3.869,0.1438356164383561,46169
202,Herzen,Трагедия за стаканом грога,0.8907051133878561,0.0002404722194962,Герцен,3.708,0.1171875,14312
203,Lermontov,Ашик-Кериб,0.86969125561344,0.000140492285935,Лермонтов,3.817,0.079646017699115,15464
204,Lermontov,Герой нашего времени,0.8911069046615998,0.0002738316211512,Лермонтов,4.319,0.1776536312849162,281815
205,Lermontov,Штосс,0.8935417426235636,0.0001699771940392,Лермонтов,4.049,0.2102102102102102,26063
206,Pushkin,Арап Петра Великого,0.9101026045264058,0.0002280027615145,Пушкин,4.317,0.080281690140845,61810
207,Pushkin,Дубровский,0.898273674805851,0.0002152503493945,Пушкин,4.226,0.0877437325905292,136337
208,Pushkin,Египетские ночи,0.9063261191470476,0.0001997430050434,Пушкин,4.051,0.0827338129496402,22339
209,Pushkin,История Пугачёва,0.9121749370125284,0.0003015245800006,Пушкин,3.965,0.0406844106463878,264917
210,Pushkin,История села Горюхина,0.8993155958320121,0.000315173080169,Пушкин,3.728,0.0494699646643109,30950
211,Pushkin,Капитанская дочка,0.8896022536364937,0.0002739019116739,Пушкин,4.163,0.146168108776267,211888
212,Pushkin,Кирджали,0.8870636908466897,0.0001350081781024,Пушкин,3.465,0.0986842105263158,11413
213,Pushkin,Пиковая дама,0.8972741064030976,0.0001796267907768,Пушкин,4.24,0.1458923512747875,46773
214,Pushkin,Повести Белкина,0.8979982065787881,0.0002843365561634,Пушкин,4.389,0.0978260869565217,124375
215,Pushkin,Рославлев,0.8997622381431349,0.0001952343568332,Пушкин,3.808,0.1584905660377358,21420
216,Tolstoy,Алёша горшок,0.8272077896022012,0.0001210475448587,Толстой,4.055,0.0657894736842105,10341
217,Tolstoy,Альберт,0.874819357641074,0.0001519940957523,Толстой,3.77,0.1540577716643741,50918
218,Tolstoy,Анна Каренина,0.8782031420687544,0.0002169177847014,Толстой,4.327,0.1260315078769692,1778358
219,Tolstoy,Божеское и человеческое,0.8700871802727609,0.0001960774761719,Толстой,3.881,0.1454311454311454,68161
220,Tolstoy,Война и мир. Том 1,0.912144628652052,0.0003212181639061,Толстой,4.322,0.1125687685146,825013
221,Tolstoy,Война и мир. Том 2,0.8936160347484984,0.0002401008143113,Толстой,4.322,0.0873259174914601,855571
222,Tolstoy,Война и мир. Том 3,0.906822887448304,0.0003127938636993,Толстой,4.298,0.1035555094848139,920929
223,Tolstoy,Война и мир. Том 4,0.9052104592561632,0.0003072084001611,Толстой,4.322,0.0747223157186132,900279
224,Tolstoy,Воскресение,0.8877826137658634,0.0002256622854506,Толстой,4.312,0.0913827237678441,911515
225,Tolstoy,Два гусара,0.9021387904567972,0.0002572153694725,Толстой,4.099,0.1699794379712131,110940
226,Tolstoy,Декабристы,0.8908409158719915,0.0002671437775285,Толстой,3.628,0.0884289746001881,98385
227,Tolstoy,Дьявол,0.8522305254071001,0.0001736405105462,Толстой,4.12,0.0923593618807724,86800
228,Tolstoy,Записки маркера,0.8683689470444227,0.0001955070764826,Толстой,3.885,0.1529411764705882,29923
229,Tolstoy,Из записок князя Д. Нехлюдова (Люцерн),0.8856967744540679,0.0002687659689292,Толстой,3.974,0.1161137440758294,50013
230,Tolstoy,Кавказский пленник,0.8955636566023473,0.0001348232109631,Толстой,4.194,0.0987654320987654,41000
231,Tolstoy,Казаки,0.8946182914668531,0.0002137482918369,Толстой,4.089,0.1572407883461868,289853
232,Tolstoy,Корней Васильев,0.8714161131342011,0.0001986985995316,Толстой,4.167,0.0934393638170974,31816
233,Tolstoy,Крейцерова соната,0.859334126114084,0.000223425396678,Толстой,4.006,0.1801373481246698,155398
234,Tolstoy,Метель,0.8921731945074373,0.0002636479790648,Толстой,3.885,0.184251968503937,54273
235,Tolstoy,Набег,0.8986864435413123,0.0002855763798059,Толстой,3.804,0.0949367088607595,47524
236,Tolstoy,Отец Сергий,0.8610206415174712,0.0001884217992148,Толстой,4.285,0.1068447412353923,82925
