Book ID,Size,Views,Likes,Rating,overall_sentiment,total_words_emotional,arc_amplitude,arc_polarity_switches,avg_cosine_similarity,sentence_count,avg_adjacent_similarity,std_adjacent_similarity,num_adjacent_pairs
13923,18722,8285,163,0.0196741098370549,neutral,2675,2,1,0.28726843,256,,,0
309127,17192,1619,80,0.0494132180358245,neutral,2618,1,0,0.33874995,350,,,0
319397,7357,1754,22,0.0125427594070695,skip,1022,1,0,0.2933699,128,,,0
337010,10451,1194,44,0.0368509212730318,positive,1570,2,1,0.33740714,168,,,0
340708,42854,1211,16,0.0132122213047068,negative,6116,1,0,0.31874296,703,,,0
21470,33599,3786,97,0.025620707871104,neutral,4775,1,0,0.35181147,448,,,0
29803,37113,3577,136,0.0380206877271456,negative,5520,1,0,0.34978795,584,,,0
292917,62252,1536,65,0.0423177083333333,neutral,9391,2,0,0.32016662,1088,,,0
33531,7468,3714,39,0.0105008077544426,neutral,1143,1,0,0.33197942,119,,,0
342603,7505,1281,5,0.0039032006245121,neutral,1155,2,1,0.29010013,129,,,0
302620,59240,1240,2,0.0016129032258064,skip,9272,1,0,0.33392873,1067,,,0
61686,22002,4823,168,0.034833091436865,skip,3534,2,1,0.3732354,308,,,0
227865,8313,2379,33,0.0138713745271122,neutral,1166,1,0,0.35049972,92,,,0
311402,12961,1480,20,0.0135135135135135,neutral,1948,1,0,0.34066784,332,,,0
130818,7720,3497,80,0.0228767515012868,negative,1152,0,0,0.37827405,120,,,0
260596,28459,1851,29,0.0156672069151809,negative,4561,2,5,0.33729193,575,,,0
30252,43955,5736,89,0.0155160390516039,negative,6595,2,1,0.32754883,742,,,0
218147,19571,2000,60,0.03,positive,2851,2,0,0.31948218,375,,,0
313050,71577,1271,12,0.009441384736428,neutral,11224,1,0,0.35521927,1150,,,0
25953,134156,3035,9,0.0029654036243822,neutral,19615,2,1,0.34689003,1786,,,0
143319,18066,2356,4,0.0016977928692699,negative,2703,1,0,0.35102388,243,,,0
334807,50757,1260,19,0.015079365079365,negative,8091,2,2,0.34941748,854,,,0
311224,14434,1376,16,0.0116279069767441,skip,2218,2,3,0.35644454,238,,,0
357797,1023,1311,1,0.0007627765064836,speech,184,1,0,0.33653373,15,,,0
271137,50618,1961,45,0.0229474757776644,positive,7983,2,0,0.37789354,811,,,0
311419,27766,1305,16,0.0122605363984674,skip,4305,1,0,0.34442124,394,,,0
298799,15736,1710,32,0.0187134502923976,neutral,2428,2,1,0.35091162,207,,,0
58862,10381,8101,109,0.0134551289964201,negative,1513,2,0,0.30014774,214,,,0
119956,17853,5769,19,0.0032934650719362,negative,2830,2,2,0.32626516,384,,,0
274736,7580,1957,31,0.0158405723045477,neutral,1103,1,0,0.3877959,128,,,0
214829,28924,2587,99,0.0382682643989176,neutral,4334,2,0,0.32113415,423,,,0
49643,43149,10000,48,0.0048,neutral,6058,1,0,0.32933435,531,,,0
246369,6452,2066,25,0.0121006776379477,negative,975,2,1,0.2717588,97,,,0
328893,41458,1575,1,0.0006349206349206,speech,6643,2,1,0.3623967,650,,,0
342376,5077,1105,14,0.0126696832579185,skip,818,1,0,0.38665295,68,,,0
72350,30027,3033,15,0.0049455984174085,neutral,4766,2,0,0.3024319,405,,,0
264371,31907,1720,29,0.016860465116279,neutral,4859,2,1,0.36297107,389,,,0
23929,8230,4353,18,0.0041350792556857,negative,1276,2,2,0.35061982,216,,,0
164221,56469,2760,64,0.0231884057971014,neutral,7946,1,0,0.34227124,431,,,0
303350,2779,1937,75,0.0387196695921528,negative,399,2,3,0.33629748,95,,,0
285830,6681,2136,59,0.0276217228464419,neutral,933,2,0,0.37783968,109,,,0
138663,25574,3300,123,0.0372727272727272,neutral,3613,2,0,0.38181314,465,,,0
343354,32614,1096,5,0.0045620437956204,positive,5089,2,4,0.3128648,712,,,0
133210,8859,2289,47,0.0205329838357361,neutral,1324,2,0,0.39540538,104,,,0
339828,42072,1245,8,0.0064257028112449,neutral,6466,2,1,0.3522704,674,,,0
259604,55071,1685,42,0.0249258160237388,neutral,8261,2,5,0.3687669,838,,,0
