iter	Passed	Remaining
831	10370	2093
832	10381	2081
833	10392	2068
834	10403	2055
835	10414	2043
836	10423	2029
837	10434	2017
838	10445	2004
839	10456	1991
840	10465	1978
841	10476	1965
842	10488	1953
843	10498	1940
844	10510	1927
845	10522	1915
846	10533	1902
847	10544	1890
848	10555	1877
849	10567	1864
850	10578	1852
851	10589	1839
852	10601	1827
853	10613	1814
854	10624	1801
855	10636	1789
856	10647	1776
857	10662	1764
858	10674	1752
859	10686	1739
860	10698	1727
861	10710	1714
862	10727	1702
863	10743	1691
864	10759	1679
865	10771	1666
866	10784	1654
867	10797	1642
868	10811	1629
869	10824	1617
870	10838	1605
871	10851	1592
872	10864	1580
873	10877	1568
874	10891	1555
875	10905	1543
876	10920	1531
877	10936	1519
878	10949	1507
879	10964	1495
880	10977	1482
881	10989	1470
882	11000	1457
883	11011	1444
884	11022	1432
885	11033	1419
886	11045	1407
887	11057	1394
888	11069	1382
889	11082	1369
890	11096	1357
891	11108	1345
892	11121	1332
893	11134	1320
894	11147	1307
895	11160	1295
896	11172	1282
897	11186	1270
898	11200	1258
899	11213	1245
900	11226	1233
901	11240	1221
902	11253	1208
903	11267	1196
904	11282	1184
905	11297	1172
906	11313	1160
907	11328	1147
908	11344	1135
909	11359	1123
910	11375	1111
911	11390	1099
912	11406	1086
913	11421	1074
914	11437	1062
915	11453	1050
916	11469	1038
917	11484	1025
918	11500	1013
919	11516	1001
920	11531	989
921	11544	976
922	11556	964
923	11568	951
924	11581	939
925	11594	926
926	11606	914
927	11618	901
928	11630	888
929	11642	876
930	11654	863
931	11667	851
932	11680	838
933	11692	826
934	11707	813
935	11722	801
936	11734	788
937	11750	776
938	11763	764
939	11776	751
940	11789	739
941	11801	726
942	11813	714
943	11825	701
944	11837	688
945	11849	676
946	11861	663
947	11873	651
948	11885	638
949	11897	626
950	11912	613
951	11924	601
952	11937	588
953	11949	576
954	11962	563
955	11974	551
956	11986	538
957	11998	526
958	12010	513
959	12022	500
960	12034	488
961	12046	475
962	12057	463
963	12069	450
964	12081	438
965	12093	425
966	12104	413
967	12116	400
968	12130	388
969	12142	375
970	12154	363
971	12166	350
972	12181	338
973	12197	325
974	12209	313
975	12222	300
976	12234	288
977	12247	275
978	12259	262
979	12271	250
980	12283	237
981	12295	225
982	12306	212
983	12318	200
984	12329	187
985	12341	175
986	12352	162
987	12364	150
988	12376	137
989	12388	125
990	12397	112
991	12409	100
992	12422	87
993	12433	75
994	12446	62
995	12458	50
996	12471	37
997	12484	25
998	12497	12
999	12509	0
